City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Linfen,CN,2021-09-22 00:37:45,36.0889,111.5189,75.4,45,99,4.85
68,Show Low,US,2021-09-22 00:37:46,34.2542,-110.0298,78.51,15,1,5.75
69,Madimba,TZ,2021-09-22 00:37:46,-10.4,40.3333,73.31,85,50,3.22
70,Novyy Urengoy,RU,2021-09-22 00:37:46,66.0833,76.6333,29.52,87,59,13.33
71,Tuktoyaktuk,CA,2021-09-22 00:37:47,69.4541,-133.0374,39.2,65,90,14.97
72,Ushuaia,AR,2021-09-22 00:33:39,-54.8,-68.3,46.06,81,75,0.0
73,Lazaro Cardenas,MX,2021-09-22 00:37:48,17.9583,-102.2,80.78,81,5,7.2
74,Tasiilaq,GL,2021-09-22 00:37:48,65.6145,-37.6368,32.16,64,81,6.87
75,Bredasdorp,ZA,2021-09-22 00:37:48,-34.5322,20.0403,43.92,93,1,3.44
76,Norman Wells,CA,2021-09-22 00:37:48,65.282,-126.8329,44.64,65,75,9.22
77,Cabedelo,BR,2021-09-22 00:37:49,-6.9811,-34.8339,75.87,83,7,7.47
78,Hithadhoo,MV,2021-09-22 00:37:49,-0.6,73.0833,83.19,77,88,17.25
79,Shenkursk,RU,2021-09-22 00:37:50,62.1091,42.896,29.97,96,9,4.52
80,Port Alfred,ZA,2021-09-22 00:37:50,-33.5906,26.891,55.58,75,1,5.84
81,Mnogovershinnyy,RU,2021-09-22 00:37:50,53.9353,139.9242,49.01,55,19,6.64
82,Razdolnoye,RU,2021-09-22 00:37:51,43.55,131.9167,68.41,88,80,6.64
83,Ewa Beach,US,2021-09-22 00:33:32,21.3156,-158.0072,89.55,59,20,12.66
84,Sumter,US,2021-09-22 00:37:51,28.7086,-82.0831,79.11,88,100,8.75
85,Armacao De Pera,PT,2021-09-22 00:37:51,37.1026,-8.357,69.71,78,0,1.7
86,Turtas,RU,2021-09-22 00:37:53,58.9417,69.1325,38.97,98,100,5.68
87,Belaya Gora,RU,2021-09-22 00:37:53,68.5333,146.4167,36.0,50,100,5.08
88,Bongaree,AU,2021-09-22 00:37:53,-27.0797,153.1586,71.29,48,1,15.19
89,Padra,IN,2021-09-22 00:37:54,22.2333,73.0833,77.09,94,75,3.44
90,Deputatskiy,RU,2021-09-22 00:37:54,69.3,139.9,34.63,61,100,2.39
91,East London,ZA,2021-09-22 00:35:00,-33.0153,27.9116,56.82,66,26,6.58
92,Salalah,OM,2021-09-22 00:37:54,17.0151,54.0924,80.69,83,75,6.91
93,Saskylakh,RU,2021-09-22 00:37:55,71.9167,114.0833,33.15,94,100,8.7
94,Kieta,PG,2021-09-22 00:37:55,-6.2167,155.6333,85.14,66,94,4.74
95,Ancud,CL,2021-09-22 00:37:55,-41.8697,-73.8203,47.73,90,0,1.97
96,Novaya Bryan,RU,2021-09-22 00:37:56,51.7159,108.2691,39.97,79,51,1.57
97,Bluff,NZ,2021-09-22 00:37:56,-46.6,168.3333,53.8,62,15,19.3
98,Busselton,AU,2021-09-22 00:37:57,-33.65,115.3333,63.59,59,0,2.42
99,Otane,NZ,2021-09-22 00:37:57,-39.8833,176.6333,68.38,52,100,8.41
100,Ozernovskiy,RU,2021-09-22 00:37:57,51.5,156.5167,49.59,85,33,11.9
101,Muroto,JP,2021-09-22 00:37:58,33.2833,134.15,80.64,79,80,6.15
102,Dolores Hidalgo,MX,2021-09-22 00:37:58,21.1561,-100.9308,73.85,68,5,11.65
103,Bytow,PL,2021-09-22 00:37:58,54.1706,17.4919,48.69,90,99,0.54
104,Katsuura,JP,2021-09-22 00:37:59,35.1333,140.3,77.02,83,96,10.33
105,Komsomolskiy,UZ,2021-09-22 00:37:59,40.4272,71.7189,60.22,51,0,6.91
106,Chapais,CA,2021-09-22 00:37:59,49.7834,-74.8492,65.98,78,100,17.83
107,Mataura,NZ,2021-09-22 00:38:00,-46.1927,168.8643,53.47,45,8,4.74
108,Cabo San Lucas,MX,2021-09-22 00:38:00,22.8909,-109.9124,88.61,76,20,1.99
109,Cidreira,BR,2021-09-22 00:38:01,-30.1811,-50.2056,59.11,65,100,11.07
110,Avarua,CK,2021-09-22 00:38:01,-21.2078,-159.775,77.05,73,40,4.61
111,Qaanaaq,GL,2021-09-22 00:38:01,77.484,-69.3632,10.54,72,0,7.54
112,Leningradskiy,RU,2021-09-22 00:38:02,69.3833,178.4167,27.54,85,100,12.08
113,Pemba,MZ,2021-09-22 00:38:02,-12.974,40.5178,74.12,79,12,1.61
114,Klaksvik,FO,2021-09-22 00:38:02,62.2266,-6.589,52.72,78,77,35.7
115,Oistins,BB,2021-09-22 00:37:34,13.0667,-59.5333,82.49,74,20,12.66
116,Kapaa,US,2021-09-22 00:38:03,22.0752,-159.319,84.18,69,75,3.0
117,Port Hedland,AU,2021-09-22 00:38:03,-20.3167,118.5667,84.25,6,99,23.02
118,Szentlorinc,HU,2021-09-22 00:38:04,46.0402,17.9872,50.05,63,100,3.56
119,Gabu,GW,2021-09-22 00:38:04,12.2833,-14.2167,75.49,98,85,4.83
120,Quepos,CR,2021-09-22 00:38:04,9.4236,-84.1652,82.06,86,100,1.43
121,Provideniya,RU,2021-09-22 00:38:05,64.3833,-173.3,33.91,60,40,11.18
122,San Cristobal,VE,2021-09-22 00:38:05,7.7669,-72.225,73.58,97,89,2.04
123,Ribeira Grande,PT,2021-09-22 00:38:05,38.5167,-28.7,71.1,80,13,16.51
124,Yurginskoye,RU,2021-09-22 00:38:06,56.8189,67.3921,34.11,89,92,5.41
125,Tiksi,RU,2021-09-22 00:38:06,71.6872,128.8694,35.74,70,100,1.86
126,Martapura,ID,2021-09-22 00:38:06,-3.4167,114.85,76.08,85,99,3.18
127,Bafq,IR,2021-09-22 00:38:07,31.6128,55.4107,78.62,15,11,1.86
128,Bhigvan,IN,2021-09-22 00:38:07,18.3167,74.7667,73.83,83,95,9.48
129,Jardim,BR,2021-09-22 00:36:22,-21.4803,-56.1381,78.22,60,8,7.72
130,Mount Isa,AU,2021-09-22 00:38:08,-20.7333,139.5,64.17,14,92,18.41
131,Lompoc,US,2021-09-22 00:38:08,34.6391,-120.4579,87.57,84,1,6.91
132,Port-Gentil,GA,2021-09-22 00:38:09,-0.7193,8.7815,77.61,81,100,13.2
133,Mayo,US,2021-09-22 00:38:09,38.8876,-76.5119,76.98,81,1,8.99
134,Mount Gambier,AU,2021-09-22 00:38:09,-37.8333,140.7667,55.31,88,75,12.66
135,Hambantota,LK,2021-09-22 00:38:10,6.1241,81.1185,77.34,100,20,8.05
136,Sao Filipe,CV,2021-09-22 00:38:10,14.8961,-24.4956,79.18,81,7,9.33
137,High Level,CA,2021-09-22 00:38:10,58.5169,-117.136,66.31,39,20,3.44
138,Chuy,UY,2021-09-22 00:38:11,-33.6971,-53.4616,52.99,80,76,6.58
139,Saint Anthony,US,2021-09-22 00:38:11,45.0205,-93.218,62.22,57,1,1.99
140,Sept-Iles,CA,2021-09-22 00:35:13,50.2001,-66.3821,54.25,92,75,3.0
141,Bathsheba,BB,2021-09-22 00:38:12,13.2167,-59.5167,83.01,74,20,12.66
142,Abha,SA,2021-09-22 00:38:12,18.2164,42.5053,64.22,77,20,0.0
143,Pacific Grove,US,2021-09-22 00:38:12,36.6177,-121.9166,93.97,65,1,3.0
144,San Policarpo,PH,2021-09-22 00:38:13,12.1791,125.5072,80.1,87,100,3.47
145,Senno,RU,2021-09-22 00:38:13,59.5336,33.9167,36.18,88,89,6.06
146,Mantua,IT,2021-09-22 00:38:14,45.1667,10.7833,63.64,83,0,3.0
147,Tutoia,BR,2021-09-22 00:38:14,-2.7619,-42.2744,79.18,80,9,11.14
148,Athabasca,CA,2021-09-22 00:38:14,54.7169,-113.2854,71.42,49,100,6.73
149,Saint-Philippe,RE,2021-09-22 00:38:15,-21.3585,55.7679,65.79,77,40,9.98
150,Lasa,IT,2021-09-22 00:38:15,46.6166,10.7002,54.48,73,8,4.83
151,Jamestown,US,2021-09-22 00:38:15,42.097,-79.2353,68.07,85,90,5.01
152,Kavieng,PG,2021-09-22 00:38:16,-2.5744,150.7967,84.29,71,92,11.54
153,Hilo,US,2021-09-22 00:38:16,19.7297,-155.09,77.79,83,90,8.05
154,Whyalla,AU,2021-09-22 00:38:16,-33.0333,137.5833,53.49,94,90,4.61
155,Wahiawa,US,2021-09-22 00:38:17,21.5028,-158.0236,86.32,70,75,17.27
156,Chengannur,IN,2021-09-22 00:38:17,9.3333,76.6333,74.3,96,26,3.09
157,Bilibino,RU,2021-09-22 00:38:18,68.0546,166.4372,26.37,62,100,1.83
158,Sitka,US,2021-09-22 00:38:18,57.0531,-135.33,55.29,71,75,19.57
159,Lebu,CL,2021-09-22 00:38:18,-37.6167,-73.65,49.73,91,24,2.46
160,Middelkerke,BE,2021-09-22 00:38:19,51.1558,2.8418,55.0,95,100,3.44
161,Gornyye Klyuchi,RU,2021-09-22 00:38:19,45.25,133.5,66.09,85,100,1.12
162,At-Bashi,KG,2021-09-22 00:38:20,41.1702,75.8106,45.09,43,2,0.72
163,Arraial Do Cabo,BR,2021-09-22 00:38:20,-22.9661,-42.0278,70.77,84,100,28.19
164,Severo-Kurilsk,RU,2021-09-22 00:38:20,50.6789,156.125,51.96,73,60,13.65
165,Qaqortoq,GL,2021-09-22 00:38:21,60.7167,-46.0333,34.3,91,100,1.81
166,Longyearbyen,SJ,2021-09-22 00:34:46,78.2186,15.6401,42.64,65,20,12.66
167,Gulbarga,IN,2021-09-22 00:38:21,17.3333,76.8333,73.09,92,100,9.69
168,Victoria,HK,2021-09-22 00:37:26,22.2855,114.1577,87.85,83,73,1.01
169,Beaver Dam,US,2021-09-22 00:38:22,43.4578,-88.8373,63.5,70,40,1.01
170,Guerrero Negro,MX,2021-09-22 00:38:22,27.9769,-114.0611,77.27,61,99,14.29
171,Pedernales,DO,2021-09-22 00:38:22,18.0384,-71.744,82.04,79,38,4.59
172,Kandrian,PG,2021-09-22 00:38:23,-6.2167,149.55,81.86,80,100,9.13
173,Bastrop,US,2021-09-22 00:38:23,32.7562,-91.8724,74.88,94,99,9.17
174,Nanortalik,GL,2021-09-22 00:38:23,60.1432,-45.2371,34.3,92,100,10.18
175,Ilulissat,GL,2021-09-22 00:38:24,69.2167,-51.1,28.42,93,75,3.44
176,Nyurba,RU,2021-09-22 00:38:24,63.2842,118.3319,44.96,75,99,2.06
177,Portland,US,2021-09-22 00:33:30,45.5234,-122.6762,86.65,35,20,5.01
178,Rabo De Peixe,PT,2021-09-22 00:38:25,37.8,-25.5833,69.31,73,20,5.75
179,Balaipungut,ID,2021-09-22 00:38:25,1.05,101.2833,73.81,88,99,3.29
180,Touros,BR,2021-09-22 00:38:25,-5.1989,-35.4608,77.9,84,1,10.38
181,Sembakung,ID,2021-09-22 00:38:26,3.8167,117.25,73.9,96,100,1.32
182,Yichun,CN,2021-09-22 00:37:00,47.7,128.9,50.58,96,100,6.73
183,Puerto Escondido,MX,2021-09-22 00:35:55,15.85,-97.0667,85.03,58,40,0.0
184,Tancheng,CN,2021-09-22 00:38:26,27.4375,115.4976,82.45,52,0,0.96
185,Yizheng,CN,2021-09-22 00:38:27,24.6706,103.4296,61.99,86,58,1.72
186,Ayan,RU,2021-09-22 00:38:27,56.45,138.1667,50.61,48,19,3.96
187,Thompson,CA,2021-09-22 00:33:32,55.7435,-97.8558,46.56,66,75,2.3
188,Mata,PT,2021-09-22 00:38:28,40.683,-7.4592,61.81,67,0,9.1
189,Hofn,IS,2021-09-22 00:38:01,64.2539,-15.2082,45.57,58,100,19.01
190,Mahebourg,MU,2021-09-22 00:38:28,-20.4081,57.7,70.09,60,75,6.91
191,San Carlos De Bariloche,AR,2021-09-22 00:38:29,-41.1456,-71.3082,55.15,35,40,4.61
192,Busembatia,UG,2021-09-22 00:38:29,0.7697,33.6131,63.37,92,57,2.71
193,Coihaique,CL,2021-09-22 00:38:29,-45.5752,-72.0662,52.41,81,0,4.61
194,San Patricio,US,2021-09-22 00:38:30,28.017,-97.5169,89.69,62,0,10.31
195,Kalamnuri,IN,2021-09-22 00:38:30,19.6667,77.3333,72.34,94,100,5.97
196,Itoman,JP,2021-09-22 00:38:30,26.1247,127.6694,86.38,82,20,6.91
197,Saint-Pierre,RE,2021-09-22 00:38:31,-21.3393,55.4781,65.88,59,0,8.05
198,Clyde River,CA,2021-09-22 00:38:31,70.4692,-68.5914,30.43,93,90,4.61
