City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bluff,NZ,-46.6,168.3333,53.8,76,63,22.46,broken clouds
80,Nouadhibou,MR,20.931,-17.0347,70.59,88,74,15.21,broken clouds
81,Tingi,TZ,-11.3,35.0333,64.81,61,6,5.08,clear sky
82,Souillac,MU,-20.5167,57.5167,72.36,78,75,12.66,broken clouds
83,East London,ZA,-33.0153,27.9116,62.04,90,2,7.47,clear sky
84,Pacific Grove,US,36.6177,-121.9166,85.75,55,1,3.0,clear sky
85,Santa Rosalia,MX,27.3167,-112.2833,78.01,62,0,4.14,clear sky
86,Antofagasta,CL,-23.65,-70.4,58.28,78,57,4.65,broken clouds
87,La Ronge,CA,55.1001,-105.2842,62.85,34,75,6.91,broken clouds
88,Saint-Pierre,RE,-21.3393,55.4781,71.24,77,45,8.05,scattered clouds
89,Ulaangom,MN,49.9811,92.0667,39.96,68,100,2.39,overcast clouds
90,Bull Savanna,JM,17.8868,-77.5902,78.49,76,1,1.59,clear sky
91,Bartica,GY,6.4,-58.6167,77.32,93,27,3.44,scattered clouds
92,Thompson,CA,55.7435,-97.8558,48.36,71,20,3.44,few clouds
93,Ostersund,SE,63.1792,14.6357,45.05,100,90,14.97,overcast clouds
94,Novyy Rogachik,RU,48.6768,44.0608,36.5,61,7,3.09,clear sky
95,Margate,GB,51.3813,1.3862,62.31,80,100,4.0,overcast clouds
96,Chokurdakh,RU,70.6333,147.9167,18.45,88,24,9.28,few clouds
97,Oytal,KZ,42.9057,73.2697,44.47,57,6,3.36,clear sky
98,Hermanus,ZA,-34.4187,19.2345,56.89,87,97,8.43,light rain
99,Jalingo,NG,8.8833,11.3667,75.04,90,100,2.59,light rain
100,Puerto Ayora,EC,-0.7393,-90.3518,70.16,91,54,6.73,broken clouds
101,Anchorage,US,61.2181,-149.9003,47.68,50,1,4.0,clear sky
102,Dzilam Gonzalez,MX,21.2833,-88.9333,81.81,72,95,8.19,overcast clouds
103,Rio Gallegos,AR,-51.6226,-69.2181,41.05,48,0,14.97,clear sky
104,Jizan,SA,17.3333,42.6667,86.94,68,83,3.98,broken clouds
105,Guozhen,CN,34.3659,107.359,75.15,71,90,2.62,light rain
106,Waitati,NZ,-45.75,170.5667,55.85,58,98,6.49,overcast clouds
107,Ribeira Grande,PT,38.5167,-28.7,71.6,83,16,2.24,few clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,86.61,65,1,6.91,clear sky
109,Caravelas,BR,-17.7125,-39.2481,73.4,88,0,5.5,clear sky
110,Hasaki,JP,35.7333,140.8333,68.29,96,100,32.06,overcast clouds
111,Ahipara,NZ,-35.1667,173.1667,60.67,53,0,6.15,clear sky
112,Turayf,SA,31.6725,38.6637,62.85,36,0,6.91,clear sky
113,Payson,US,40.0444,-111.7321,63.37,45,1,10.36,clear sky
114,Belle Glade,US,26.6845,-80.6676,82.99,81,1,10.71,clear sky
115,Hobart,AU,-42.8794,147.3294,61.11,96,90,3.0,overcast clouds
116,Riyadh,SA,24.6877,46.7219,73.54,13,2,1.83,clear sky
117,Yellowknife,CA,62.456,-114.3525,48.42,100,75,8.05,light rain
118,Vagur,FO,61.4732,-6.8119,49.23,74,0,19.93,clear sky
119,Chota,PE,-6.55,-78.65,56.03,90,97,2.24,overcast clouds
120,Port Blair,IN,11.6667,92.75,82.49,80,57,9.1,broken clouds
121,Portland,US,45.5234,-122.6762,61.84,91,75,1.99,broken clouds
